Date,Forecasted Revenue
2019-12-10,142012.13250105016
2019-12-11,164498.3653937322
2019-12-12,209541.92231635665
2019-12-13,206769.16362468834
2019-12-14,191393.35635430858
2019-12-15,170499.28755420816
2019-12-16,161374.22254022447
2019-12-17,163623.65444309489
2019-12-18,172164.34553920565
2019-12-19,179352.38219779913
2019-12-20,181589.93577430106
2019-12-21,179398.40301425548
2019-12-22,175766.1892635537
2019-12-23,173362.9518720325
2019-12-24,173135.7795671781
2019-12-25,174389.7133874547
2019-12-26,175827.13791948522
2019-12-27,176534.6327629395
2019-12-28,176374.48140615906
2019-12-29,175770.16915431689
2019-12-30,175245.01592805272
2019-12-31,175077.07339583125
2020-01-01,175229.19898799216
2020-01-02,175490.55277304634
2020-01-03,175666.29669214523
2020-01-04,175685.83228528124
2020-01-05,175597.03336796444
2020-01-06,175493.15342499843
2020-01-07,175440.87225229642
2020-01-08,175451.26572714295
